,word,Sad,Anx,Anger,Hate,Trustful,S,Happy
0,可愛がる,0.04623711280949053,0.0,0.0,0.0,0.0,0.0,0.0
1,愛犬,0.08117664922987632,0.005352799499764997,0.0,0.0,0.008734564981529653,0.006241398364738741,0.01163625062262765
2,亡くなる,0.45699446973856295,0.018734798249177488,0.006501903917681479,0.0,0.008734564981529653,0.028086292641324336,0.0
3,時,0.26919546200939476,0.26305864168835374,0.382998733017986,0.3461517219588423,0.4919743762674258,0.4201754169627251,0.4347652120879727
4,死,0.39468507587843593,0.023423029739373963,0.004377128377348411,0.006410217073311895,0.00196005727596584,0.02731140210257713,0.0019584018562521293
5,失恋,0.13871133842847155,0.0,0.0,0.0,0.0,0.0,0.0
6,受ける,0.01237077039918977,0.015417302943618677,0.03745397988981182,0.013059667949229943,0.02156363243573405,0.005136192453271172,0.0
7,兄,0.01463253363182708,0.0,0.003955512258639333,0.0038618457929693144,0.0,0.0037970305398759368,0.0
8,愛す,0.005682159438102595,0.00505821214064101,0.0,0.0,0.0,0.0,0.0
9,起きる,0.004498180109983779,0.016016973470007058,0.0,0.0,0.0,0.023344866557246057,0.0
10,とても,0.020240260301458254,0.007207086073653527,0.0065656925660226165,0.006410217073311895,0.017640515483692557,0.008403508339254502,0.017625616706269165
11,静かだ,0.005682159438102595,0.0,0.0,0.0,0.00550257644119752,0.0,0.0
12,する,0.27526754009983223,0.2954905290197946,0.49242694245169627,0.3397415048855304,0.39593156974509963,0.41387278570828423,0.2683010543065417
13,ところ,0.002474154079837954,0.004404943698176765,0.005350568555687402,0.013059667949229943,0.0023959591595260053,0.010272384906542344,0.0
14,行く,0.020240260301458254,0.014414172147307055,0.013131385132045233,0.014957173171061088,0.0098002863798292,0.016807016678509003,0.14100493365015332
15,寝床,0.005682159438102595,0.0,0.0,0.0,0.00550257644119752,0.0,0.0
16,出る,0.020240260301458254,0.019819486702547198,0.017508513509393645,0.02350412926881028,0.00392011455193168,0.012605262508881753,0.0019584018562521293
17,私,0.024288312361749904,0.012612400628893673,0.04377128377348411,0.034187824390996775,0.06468189010687271,0.01890789376332263,0.003916803712504259
18,寝る,0.004948308159675908,0.0022024718490883826,0.008025852833531104,0.0026119335898459888,0.0047919183190520106,0.0,0.00478787117402767
19,場所,0.007422462239513862,0.0022024718490883826,0.0,0.0026119335898459888,0.0023959591595260053,0.010272384906542344,0.007181806761041505
20,一番,0.006072078090437476,0.0036035430368267637,0.0021885641886742056,0.004273478048874597,0.00392011455193168,0.008403508339254502,0.007833607425008517
21,近い,0.00731626681591354,0.0032564406222276286,0.0,0.0038618457929693144,0.0,0.0037970305398759368,0.0
22,文鳥,0.015412370936496842,0.0,0.0,0.0,0.0,0.0,0.0
23,横たわる,0.007706185468248421,0.0,0.0,0.0,0.0,0.0,0.0
24,手,0.002474154079837954,0.0,0.010701137111374805,0.0052238671796919775,0.009583836638104021,0.002568096226635586,0.002393935587013835
25,取る,0.004048052060291651,0.0018017715184133819,0.017508513509393645,0.008546956097749194,0.00196005727596584,0.004201754169627251,0.0019584018562521293
26,ほんのり,0.007706185468248421,0.0,0.0,0.0,0.0,0.0,0.0
27,温かい,0.005682159438102595,0.0,0.0,0.0,0.01650772932359256,0.0,0.0
28,身内,0.06915047897359836,0.0026763997498824984,0.0162547597942037,0.006347938939121467,0.005823043321019769,0.0,0.0
29,離婚,0.05195723567659704,0.033037077736325735,0.029428127056280715,0.007835800769537967,0.011979795797630026,0.02568096226635586,0.0
30,人生,0.11739350974845786,0.11351160566004305,0.1159939019997329,0.10683695122186491,0.10976320745408702,0.11974999383437665,0.11162890580637137
31,働く,0.002474154079837954,0.011012359245441911,0.005350568555687402,0.015671601539075933,0.014375754957156033,0.0,0.002393935587013835
32,生きる,0.00731626681591354,0.022795084355593402,0.0,0.0,0.0,0.0037970305398759368,0.010618581702792104
33,出来る,0.012144156180874952,0.06126023162605498,0.041582719584809906,0.029914346342122176,0.06272183283090688,0.06302631254440877,0.048960046406303234
34,悲しい,0.20240260301458252,0.09189034743908248,0.1116167736223845,0.10683695122186491,0.09996292107425783,0.10924560841030852,0.09987849466885859
35,吹奏,0.007706185468248421,0.0,0.0,0.0,0.0,0.0,0.0
36,楽,0.007706185468248421,0.0,0.0,0.0,0.0,0.0,0.0
